"SPC","ABBREV","SPC_NMCO","SPC_NMSC","SPC_NMFAM","SPC_LAB","SPECIES_AT_RISK","FLEN_MIN","FLEN_MAX","TLEN_MIN","TLEN_MAX","RWT_MIN","RWT_MAX","K_MIN_ERROR","K_MIN_WARN","K_MAX_ERROR","K_MAX_WARN","FLEN2TLEN_ALPHA","FLEN2TLEN_BETA"
"424",,"Pink Salmon x Chinook Salmon","Oncorhynchus gorbuscha x Oncorhynchus tshawytscha","SALMONINAE Hybrids","HyS_T",FALSE,24,860,35,882,0.2,10659,0.54,0.77,2.57,2.34,12.17709,1.00915
"450",,"Whitefish Subfamily Hybrids","Coregoninae Hybrids","COREGONINAE hybrids","HyCOR",FALSE,8,750,9,830,0.1,5422,0.11,0.29,2.13,1.89,3.09082,1.10048
"451",,"Lake Whitefish x Cisco","Coregonus clupeaformis x Coregonus artedi","COREGONINAE Hybrids","HyCOR",FALSE,8,750,9,830,0.1,5422,0.11,0.29,2.13,1.89,2.4667,1.10579
"460",,"Pacu & Piranha Family","Characidae","CHARCIDAE","Char",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"461",,"Pirapitinga","Piaractus brachypomus","CHARCIDAE","Pirap",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"462",,"Red Piranha","Pygocentrus nattereri","CHARCIDAE","RePir",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"463",,"Tambaqui","Colossoma macropomum","CHARCIDAE","TamB",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"470",,"Suckermouth Armoured Catfish Family","Loricariidae","LORICARIIDAE","LORI",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"471",,"Royal Panaque","Panaque nigrolineatus","LORICARIIDAE","RyPan",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"472",,"Amazon Sailfin Catfish","Pterygoplichthys pardalis","LORICARIIDAE","AmCat",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
